# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.20409607229044255 0.7544501079677528 -0.602173440218367 0.16290173651203846 -3.3291512591647317e-09 -6.350219173782813e-08 4.03112833324526 1 r_0.png

2 0.5352425592046046 0.6230611127795418 0.4326407927550066 -0.3716614010121901 3.464437570141565e-08 2.2687053310016696e-08 4.0311284712738065 1 r_12.png

3 0.08004556660485164 0.3885516478800315 -0.89906356626093 0.18521616565191762 -1.8170238024713758e-08 -1.408230145548185e-07 4.031127931008826 1 r_24.png

4 0.4200742420280089 0.8333990665820845 -0.3207060393227279 0.16165167288535226 4.731988697066508e-09 -1.05131830799033e-07 4.031128571704852 1 r_36.png

5 0.4880794228544962 0.6480055971046622 -0.4670364015179291 0.35177297048556005 2.302990197737492e-08 -1.9084136464781852e-08 4.031128420705169 1 r_48.png

6 0.03809324261703601 0.22442901469207144 -0.960014962385532 0.16294721300829748 1.3143353629963136e-08 -5.622324655780212e-08 4.031128481320214 1 r_60.png

7 0.23231495506651084 0.4717349603194636 -0.7630716244938138 0.37578928238736575 4.2011420014149937e-08 -3.383657693773678e-08 4.031128931063014 1 r_72.png

8 0.08772062995998321 0.2457812203553308 -0.9091770074203807 0.32449014157319067 -3.385910774120537e-08 -7.087342130291525e-08 4.031128486615268 1 r_84.png

