# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.07199304832801179 0.17974990403357724 -0.9107419838079769 0.36476843602739417 -5.37207106686135e-08 2.011459690208493e-08 4.031128890664435 1 r_0.png

2 0.2134640896948653 0.4458316028331877 0.7840528279926775 -0.37540435165647573 2.0334860579107818e-08 -5.429076659831507e-08 4.031129009202194 1 r_12.png

3 0.5517769222065076 0.7378571986618224 -0.31130886269904917 0.2327998593390173 9.471573843618908e-08 -2.4470904926888034e-08 4.031128952055202 1 r_24.png

4 0.003024945594010782 0.06552654299398138 0.9967846911226552 -0.046015230206147416 -3.200208606361233e-10 -3.7210377730639775e-09 4.031128955625312 1 r_36.png

5 0.05013091835379064 0.3051361984079443 -0.9384082160141614 0.15417137076407061 -1.758659862258716e-08 -2.9256494037926386e-08 4.0311288796536395 1 r_48.png

6 0.17631283955624108 0.25200088059535286 0.7796513007715721 -0.5454843609050378 1.1525398864800127e-07 -7.143696770142605e-09 4.031128868176189 1 r_60.png

7 0.4780865143717792 0.6005016992713547 -0.5014479883900577 0.3992253860761151 3.746755540107996e-08 -3.87526791455424e-08 4.0311290388955205 1 r_72.png

8 0.003307175608258658 0.009882802493575362 0.9482595646397207 -0.31732505554030155 -1.7103014272452612e-09 -5.304984536983673e-08 4.031128980183581 1 r_84.png

