# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.04472301161214762 0.05301230963868022 0.762494381788513 -0.6432665582789648 6.81594018623003e-09 2.0721219397176627e-10 4.031128435129642 1 r_0.png

2 0.18774980199750774 0.27099150771911545 0.776038697887263 -0.5376593289207003 -1.8347672016050963e-07 -1.9739578101606798e-08 4.031128595892413 1 r_12.png

3 0.5919409906961006 0.3849683482401803 -0.38605181442352243 0.5936069667442023 4.4646706603511817e-10 -6.280058534359772e-09 4.031127865500619 1 r_24.png

4 0.644607841145044 0.7645102186242269 0.0016848350100940293 -0.00142059299279522 -3.479314975312173e-10 -1.4842863866760444e-08 4.031128959340296 1 r_36.png

5 0.9248722001135001 0.3487686756555123 0.05347879929227671 -0.1418162274387923 2.6308095512483388e-08 1.2712928583524154e-07 4.031128459621904 1 r_48.png

6 0.7636079900750881 0.6097891693443084 -0.13246077491049832 0.16587389654183848 6.078173813893139e-08 -1.212584859069583e-08 4.031128329198561 1 r_60.png

7 0.7050352530965462 0.7044021338251771 0.05803821116372739 -0.05809037612669823 -4.160175359443806e-08 -3.83309108819824e-11 4.031128357969885 1 r_72.png

8 0.2790040981148969 0.22515438474850288 0.5862586865752168 -0.7264729648642941 2.4851482500949923e-08 6.054299387191915e-08 4.031128595904369 1 r_84.png

