# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.00413892989128602 0.00563847938239157 -0.8061094164008207 0.5917251774257524 6.330681008562156e-10 -5.1536360099290785e-08 4.0311294416755175 1 r_0.png

2 0.03157193656073841 0.11554016386713169 -0.9576899846100961 0.26169366964616403 1.6049898244609005e-08 -2.3395494180455136e-08 4.031128973356903 1 r_12.png

3 0.43767799642027577 0.8339149169562704 -0.2976808449680037 0.15623699071117927 -7.102088880961974e-08 -8.980402824426504e-09 4.031129041528567 1 r_24.png

4 0.34166781737215385 0.8752703831702895 0.31886079250653016 -0.12446948991295205 -1.99284104411991e-08 -3.489437164074054e-08 4.031128861849436 1 r_36.png

5 0.14382840972005495 0.9895813211562436 0.006428407143297789 -0.0009343220340196399 1.4513989317219983e-09 -9.814985073906735e-08 4.031129183813413 1 r_48.png

6 0.23480181766414396 0.2913840565528152 -0.7220795716998923 0.5818629822751574 1.074549327172188e-07 2.8496684199826973e-08 4.031128932578724 1 r_60.png

7 0.46620283546171576 0.6681075254429197 0.4755667539500214 -0.33184862993755804 6.261432504094154e-08 3.8519781247378894e-08 4.031129279850094 1 r_72.png

8 0.3524237322015772 0.9267249408580378 0.12179169148520484 -0.04631609717959782 2.0277893663801004e-08 -1.2669505346237445e-07 4.031128967948454 1 r_84.png

