# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.005313235426418713 0.054998546534943224 0.9938453481608965 -0.09601225623478041 -4.689713325647336e-09 -1.5003145126685297e-08 4.031129264872019 1 r_0.png

2 0.3762558212094394 0.6405040433770749 0.577237813698621 -0.33909089321311014 7.893314057661745e-10 -5.893560322198986e-08 4.0311293201587075 1 r_12.png

3 0.40182970054614203 0.6558409783418165 0.5449194116573698 -0.3338687431995287 -2.66822046993216e-08 -1.4170490044927919e-08 4.031128957471485 1 r_24.png

4 0.11589559630248394 0.17601070992121853 0.8164442238455616 -0.537593963972754 -7.144872820968519e-08 1.860353587550535e-08 4.031129025867486 1 r_36.png

5 0.01840734044346373 0.09758302944716131 0.9778128098092951 -0.18444736689517707 -3.0165973363015128e-09 -1.9830707845076086e-08 4.031128704299778 1 r_48.png

6 0.07549196903055959 0.2700593366601037 -0.9244402567763139 0.2584165802458049 4.012120906171162e-08 -3.85304578065564e-09 4.031128908263249 1 r_60.png

7 0.5310838068226236 0.8398109389181034 0.09512542405882868 -0.060155886677129955 7.142790468934611e-09 -3.538154373640147e-08 4.031129020283353 1 r_72.png

8 0.08546379314760441 0.1173460033079937 0.7997757357638412 -0.5824814400921892 -4.288303563254116e-09 2.867050142199247e-08 4.031129194079367 1 r_84.png

